"study_ID","measured_response_variable","measured_response_comments","reported_units"
"187_l","Aboveground carbon stock in graminoids",NA,"g Carbon/m2"
"187_m","Aboveground carbon stock in bryophytes",NA,"g Carbon/m2"
"187_n","Sum of potential EEA (extracellular enzyme activities)","Total EEA includes the potential activities of b-glucosidase (BG), N-acetyl-glucosaminidase (NAG), acid phosphatase (AP), leucine aminopeptidase (LAP), phenol oxidase (POX), and urease (U)","micromol hour-1 g SOM-1"
"187_o","b-glucosidase (BG)",NA,"micromol hour-1 g SOM-1"
"187_p","N-acetyl-glucosaminidase (NAG)",NA,"micromol hour-1 g SOM-1"
"187_q","acid phosphatase (AP)",NA,"micromol hour-1 g SOM-1"
"187_r","leucine aminopeptidase (LAP)",NA,"micromol hour-1 g SOM-1"
"187_s","phenol oxidase (POX)",NA,"micromol hour-1 g SOM-1"
"187_t","urease (U)",NA,"micromol hour-1 g SOM-1"
"187_u","Organic soil moisture",NA,"%"
"187_v","Organic soil carbon-to-nitrogen ratio",NA,"unitless"
"191_a","Betula  glandulosa new apical stem biomass per area",NA,"grams per sqm"
"191_b","Betula  glandulosa number of new apical shoots per area",NA,"number per sqm"
"191_c","Betula  glandulosa mean indiviudal new apical stem biomass",NA,"grams"
"191_d","Betula  glandulosa number of inflorescences per area",NA,"number per sqm"
"194_a","soil NH4",NA,"ppm"
"194_b","soil NO3",NA,"ppm"
"194_c","soil Cation exchange capacity",NA,"meq. 100 g-1"
"194_d","soil moisture",NA,"% water"
"197_a","Index of biomass of vascular plants","index of biomass based on hits per pin in point intercept; modified point intercept method with 100 pins (plot 0.25 m2), multiple hits per pin --> measure of abundance; expressed as hits/pin","hits per pin"
"197_b","index of biomass of Empetrum hermaphoditum","index of biomass based on hits per pin in point intercept; modified point intercept method with 100 pins (plot 0.25 m2), multiple hits per pin --> measure of abundance; expressed as hits/pin","hits per pin"
"197_c","index of biomass of Vaccinium vitis-idaea","index of biomass based on hits per pin in point intercept; modified point intercept method with 100 pins (plot 0.25 m2), multiple hits per pin --> measure of abundance; expressed as hits/pin","hits per pin"
"197_d","Index of biomass of Betula nana","index of biomass based on hits per pin in point intercept; modified point intercept method with 100 pins (plot 0.25 m2), multiple hits per pin --> measure of abundance; expressed as hits/pin","hits per pin"
"197_e","Index of biomass of Vaccinium myrtillus","index of biomass based on hits per pin in point intercept; modified point intercept method with 100 pins (plot 0.25 m2), multiple hits per pin --> measure of abundance; expressed as hits/pin","hits per pin"
"197_f","Cover of mosses","modified point intercept method with 100 pins (plot 0.25 m2), one hit per pin --> measure of cover","percentage"
"197_g","Cover of fructicose lichens","modified point intercept method with 100 pins (plot 0.25 m2), one hit per pin --> measure of cover","percentage"
"197_h","Height of Empetrum hermaphroditum",NA,"cm"
"197_i","Height of Vaccinium vitis-idaea",NA,"cm"
"197_j","Height of Betula nana",NA,"cm"
"198_a","leaf area","leaf traits of Salix arctica","cm2"
"198_b","N content","leaf traits of Salix arctica","mg"
"198_c","leaf weight","leaf traits of Salix arctica","mg"
"198_d","leaf weight","leaf traits of Salix arctica","mg"
"198_e","leaf weight","leaf traits of Salix arctica","mg"
"198_f","leaf weight","leaf traits of Salix arctica","mg"
"198_g","leaf C content","leaf traits of Salix arctica","mg"
"198_h","leaf C content","leaf traits of Salix arctica","mg"
"198_i","leaf C content","leaf traits of Salix arctica","mg"
"198_j","leaf C content","leaf traits of Salix arctica","mg"
"198_k","leaf area male leaves","leaf traits of Salix arctica","cm2"
"198_l","leaf area female leaves","leaf traits of Salix arctica","cm3"
"198_m","leaf weight males","leaf traits of Salix arctica","mg"
"198_n","leaf weight females","leaf traits of Salix arctica","mg"
"198_o","N content males","leaf traits of Salix arctica","%"
"198_p","N content females","leaf traits of Salix arctica","%"
"198_q","C content males","leaf traits of Salix arctica","%"
"198_r","C content females","leaf traits of Salix arctica","%"
"198_s","CN ratio males","leaf traits of Salix arctica",NA
"198_t","CN ratio females","leaf traits of Salix arctica",NA
"198_u","N content males","leaf traits of Salix arctica","mg"
"198_v","N content females","leaf traits of Salix arctica","mg"
"198_w","C content males","leaf traits of Salix arctica","mg"
"198_x","C content females","leaf traits of Salix arctica","mg"
"198_y","delta15 N","leaf traits of Salix arctica","parts per thousand"
"198_z","delta15 N males","leaf traits of Salix arctica","parts per thousand"
"198_aa","delta15 N females","leaf traits of Salix arctica","parts per thousand"
"198_ab","delta13 C","leaf traits of Salix arctica","parts per thousand"
"198_ac","delta13 C males","leaf traits of Salix arctica","parts per thousand"
"198_ad","delta13 C females","leaf traits of Salix arctica","parts per thousand"
"198_ae","photosynthetic efficiency males","leaf traits of Salix arctica","Fv/Fm"
"198_af","photosynthetic efficiency females","leaf traits of Salix arctica","Fv/Fm"
"198_ag","plant perfornance index","leaf traits of Salix arctica",NA
"198_ah","plant perfornance index males","leaf traits of Salix arctica",NA
"198_ai","plant perfornance index females","leaf traits of Salix arctica",NA
"198_aj","plant perfornance index females","leaf traits of Salix arctica",NA
"198_ak","plant perfornance index females","leaf traits of Salix arctica",NA
"198_al","plant perfornance index females","leaf traits of Salix arctica",NA
"198_am","plant perfornance index males","leaf traits of Salix arctica",NA
"198_an","plant perfornance index males","leaf traits of Salix arctica",NA
"198_ao","plant perfornance index males","leaf traits of Salix arctica",NA
"198_ap","plant perfornance index","leaf traits of Salix arctica",NA
"198_aq","plant perfornance index","leaf traits of Salix arctica",NA
"198_ar","plant perfornance index","leaf traits of Salix arctica",NA
"198_as","plant performance index","leaf traits of Salix arctica",NA
"200_a","Leaf nitrogen","Bylot Island","%"
"200_b","Leaf nitrogen","Pond Inlet","%"
"200_c","Leaf carbon","Bylot Island","%"
"200_d","Leaf carbon","Pond Inlet","%"
"200_e","Leaf C/N","Bylot Island","unitless"
"200_f","Leaf C/N","Pond Inlet","unitless"
"200_g","Leaf mass area","Bylot Island","g/cm2"
"200_h","Leaf mass area","Pond Inlet","g/cm2"
"200_i","Leaf dry matter content","Bylot Island","g/g"
"200_j","Leaf dry matter content","Pond Inlet","g/g"
"200_k","Plant height","Bylot Island","cm"
"200_l","Plant height","Pond Inlet","cm"
"201_a","Relative change in abundance of lichens (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_b","Relative change in abundance of lichens (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_c","Relative change in abundance of mosses (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_d","Relative change in abundance of mosses (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_e","Relative change in abundance of vascular plants (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_f","Relative change in abundance of vascular plants (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_g","Relative change in abundance of deciduous plants (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_h","Relative change in abundance of deciduous plants (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_i","Relative change in abundance of evergreen plants (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_j","Relative change in abundance of evergreen plants (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_k","Relative change in abundance of graminoids (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_l","Relative change in abundance of graminoids (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_m","Relative change in abundance of herbs (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_n","Relative change in abundance of herbs (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_o","Relative change in abundance of Betula nana (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_p","Relative change in abundance of Betula nana (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_q","Relative change in abundance of Vaccinium myrtillus (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_r","Relative change in abundance of Vaccinium myrtillus (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_s","Relative change in abundance of Salix herbacea (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_t","Relative change in abundance of Salix herbacea (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_u","Relative change in abundance of Empetrum hermaphroditum (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_v","Relative change in abundance of Empetrum hermaphroditum (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_w","Relative change in abundance of Vaccinium vitis-idaea (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_x","Relative change in abundance of Vaccinium vitis-idaea (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_y","Relative change in abundance of Phyllodoce caerulea (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_z","Relative change in abundance of Phyllodoce caerulea (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_aa","Relative change in abundance of Carex bigelowii (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_ab","Relative change in abundance of Carex bigelowii (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_ac","Relative change in abundance of Poaceae (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_ad","Relative change in abundance of Poaceae (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_ae","Relative change in abundance of Juncus trifidus (control vs no reindeer)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"201_af","Relative change in abundance of Juncus trifidus (control vs no reindeer no rodents)","Only reporting values of 1996 relative to 1990.","log abundance (not specified how abundance is measured)"
"220_a","net ecosystem exchange",NA,"mg CO2-C /m2h"
"220_b","ecosystem respiration",NA,"mg CO2-C /m2h"
"220_c","gross ecosystem production",NA,"mg CO2-C /m2h"
"220_g","total abundance herbs",NA,"hits/100 pins"
"220_i","total abundance lichens",NA,"hits/100 pins"
"220_k","NDVI",NA,"NDVI"
"221_a","percent cover of woody plants",NA,"percentage"
"221_b","percent cover of graminoids",NA,"percentage"
"221_c","percent cover of forbs",NA,"percentage"
"221_d","percent cover of other plants",NA,"percentage"
"241_a","shoot length Salix reticulata per ramet",NA,"cm"
"241_b","shoot length Salix reticulata per shoot",NA,"cm"
"241_c","number of leaves per shoot of Salix reticulata",NA,"number of leaves"
"241_d","shoot length Salix glauca per shoot",NA,"cm"
"241_e","number of leaves per shoot of Salix glauca",NA,"number of leaves"
"250_a","biomass","Solidago virgaurea","g"
"250_b","biomass","Solidago virgaurea","g"
"250_c","biomass","Erigeron uniflorus","g"
"250_d","biomass","Erigeron uniflorus","g"
"250_e","biomass","Saussurea alpina","g"
"250_f","biomass","Saussurea alpina","g"
"250_g","soil NH4",NA,"mg / kg OM"
"250_h","soil NH4",NA,"mg / kg OM"
"257_a","net photosynthetic capacity (Amax) in Salix pulchra",NA,"micromol/m2*s"
"257_b","net photosynthetic capacity (Amax) in Salix glauca",NA,"micromol/m2*s"
"257_c","stomatal conductance (gs) in Salix pulchra",NA,"mol/m2*s"
"257_d","stomatal conductance (gs) in Salix glauca",NA,"mol/m2*s"
"257_e","instantaneous water use efficiency (WUE) in Salix pulchra",NA,"Amax/E"
"257_f","instantaneous water use efficiency (WUE) in Salix glauca",NA,"Amax/E"
"257_g","Evapotranspiration (E) in Salix pulchra",NA,"mol/m2*s"
"257_h","Evapotranspiration (E) in Salix glauca",NA,"mol/m2*s"
"257_i","chlorophyl content in Salix pulchra",NA,"micromol/m2*s"
"257_j","chlorophyl content in Salix glauca",NA,"micromol/m2*s"
"257_k","anthocyanin content in Salix pulchra",NA,"nanomol/cm2"
"257_l","anthocyanin content in Salix glauca",NA,"nanomol/cm2"
"257_m","chlorophyl fluorescence in Salix pulchra",NA,"Fv/Fm"
"257_n","chlorophyl fluorescence in Salix glauca",NA,"Fv/Fm"
"257_o","starch content in Salix pulchra",NA,"g/100 g dry mass"
"257_p","starch content in Salix glauca",NA,"g/100 g dry mass"
"257_q","glucose + fructose content in Salix pulchra",NA,"g/100 g dry mass"
"257_r","glucose + fructose content in Salix glauca",NA,"g/100 g dry mass"
"257_s","sucrose content in Salix pulchra",NA,"g/100 g dry mass"
"257_t","sucrose content in Salix glauca",NA,"g/100 g dry mass"
"257_u","nitrogen content in Salix pulchra",NA,"%"
"257_v","nitrogen content in Salix glauca",NA,"%"
"257_w","carbon content in Salix pulchra",NA,"%"
"257_x","carbon content in Salix glauca",NA,"%"
"257_y","C:N in Salix pulchra",NA,"ratio"
"257_z","C:N in Salix glauca",NA,"ratio"
"258_a","Above ground biomass",NA,"g m-2"
"258_b","Carbon Pool Forbs",NA,"g m-2"
"258_c","Carbon Pool Grasses",NA,"g m-2"
"258_d","Carbon Pool equisetum",NA,"g m-2"
"258_e","Carbon Pool Roots",NA,"g m-2"
"258_f","Carbon Pool Moss",NA,"g m-2"
"258_g","Carbon Pool Total Vegetation (4 year exclosure)",NA,"g m-2"
"258_h","Carbon Pool Vascular Litter",NA,"g m-2"
"258_i","Carbon Pool Moss Litter",NA,"g m-2"
"258_j","Carbon Pool Total Litter",NA,"g m-2"
"258_k","Depth of soil organic horizon",NA,"mm"
"258_l","Soil nitrogen",NA,"%"
"258_m","Ecosystem respiration","Thiisbukta","micromol CO2 m-2 s-1"
"258_n","CH4 Flux",NA,"lg CH4 m-2 h-1"
"258_o","Above ground biomass (9 year exclosure)",NA,"g m-2"
"258_p","Carbon Pool Forbs (9 year exclosure)",NA,"g m-2"
"258_q","Carbon Pool Grasses (9 year exclosure)",NA,"g m-2"
"258_r","Carbon Pool Roots (9 year exclosure)",NA,"g m-2"
"258_s","Carbon Pool Moss (9 year exclosure)",NA,"g m-2"
"258_t","Carbon Pool Total Vegetation (9 year exclosure)",NA,"g m-2"
"258_u","Carbon Pool Vascular Litter (9 year exclosure)",NA,"g m-2"
"258_v","Carbon Pool Moss Litter (9 year exclosure)",NA,"g m-2"
"258_w","Carbon Pool Total Litter (9 year exclosure)",NA,"g m-2"
"258_x","Depth of soil organic horizon (9 year exclosure)",NA,"mm"
"258_y","Soil nitrogen (9 year exclosure)",NA,"%"
"258_z","Moss depth (4 and 9 year exclosure combined)",NA,"mm"
"258_aa","Moss volumetric moisture content (4 and 9 year exclosure combined)",NA,"m3 m-3"
"258_ab","Moss temperature at 5cm (4 and 9 year exclosure combined)",NA,"degrees celsius"
"258_ac","C:N ratio of grasses (both sites)",NA,"ratio"
"258_ad","C:N ratio of roots (both sites)",NA,"ratio"
"258_ae","C:N ratio of herbs (both sites)",NA,"ratio"
"258_af","Green moss biomass","Thiisbukta","g m-2"
"258_ag","Brown moss biomass","Thiisbukta","g m-2"
"258_ah","Grass biomass","Thiisbukta","g m-2"
"258_ai","Herbs biomass","Thiisbukta","g m-2"
"258_aj","Vascular litter biomass","Thiisbukta","g m-2"
"258_ak","Equisetum biomass","Thiisbukta","g m-2"
"258_al","Roots biomass","Thiisbukta","g m-2"
"258_am","Green moss biomass","Solvatnet","g m-2"
"258_an","Brown moss biomass","Solvatnet","g m-2"
"258_ao","Grass biomass","Solvatnet","g m-2"
"258_ap","Herbs biomass","Solvatnet","g m-2"
"258_aq","Vascular litter biomass","Solvatnet","g m-2"
"258_ar","Shrubs biomass","Solvatnet","g m-2"
"258_as","Roots biomass","Solvatnet","g m-2"
"258_at","Total soil C","Solvatnet","mg C g-1"
"258_au","Total soil C","Thiisbukta","mg C g-1"
"258_av","Soil dissolved organic C","Thiisbukta","mg C L-1"
"258_aw","microbial biomass C","Thiisbukta","mg C g-1"
"258_ax","Net ecosystem exchange of CO2","Thiisbukta","micromol CO2 m-2 s-1"
"258_ay","Gross ecosystem photosynthesis","Thiisbukta","micromol CO2 m-2 s-1"
"266_a","Vascular plants biomass in tall herb meadow",NA,"g/m2"
"266_b","Vascular plants biomass in snow bed",NA,"g/m2"
"266_c","Graminoid biomass in tall herb meadow",NA,"g/m2"
"266_d","erect herbs biomass in tall herb meadow",NA,"g/m2"
"266_e","prostate herbs biomas in tall herb meadow",NA,"g/m2"
"266_f","ericoids biomas in tall herb meadow",NA,"g/m2"
"266_g","salix herbacea biomas in tall herb meadow",NA,"g/m2"
"266_h","shrubs biomas in tall herb meadow",NA,"g/m2"
"266_i","Graminoid biomass in snow bed",NA,"g/m2"
"266_j","erect herbs biomass in snow bed",NA,"g/m2"
"266_k","prostate herbs biomas in snow bed",NA,"g/m2"
"266_l","ericoids biomas in snow bed",NA,"g/m2"
"266_m","salix herbacea biomas in snow bed",NA,"g/m2"
"266_n","shrubs biomas in snow bed",NA,"g/m2"
"266_o","Crytograms biomass in tall herb meadow",NA,"g/m2"
"266_p","mosses biomass in tall herb meadow",NA,"g/m2"
"266_q","hepatics biomass in tall herb meadow",NA,"g/m2"
"266_r","lichens biomass in tall herb meadow",NA,"g/m2"
"266_s","Crytograms biomass in snow bed",NA,"g/m2"
"266_t","mosses biomass in snow bed",NA,"g/m2"
"266_u","hepatics biomass in snow bed",NA,"g/m2"
"266_v","lichens biomass in snow bed",NA,"g/m2"
"266_w","Carex bigelowii relative competition intensity in tall herb meadow",NA,"intensity"
"266_x","Carex bigelowii relative competition intensity in snow bed",NA,"intensity"
"266_y","Solidago virgaurea relative competition intensity in tall herb meadow",NA,"intensity"
"266_z","Solidago virgaurea relative competition intensity in snow bed",NA,"intensity"
"266_aa","species richness in tall herb meadow",NA,NA
"266_ab","species richness in snowbed",NA,NA
"267_c","Shannon diversity index","dry","NA"
"267_d","Shannon diversity index","wet","NA"
"268_b","Cover of Vaccinium myrtillus in 2007",NA,"percentage"
"268_d","Cover of other dwarf shrubs in 2007",NA,"percentage"
"268_f","Cover of herbaceous plants in 2007",NA,"percentage"
"268_h","Cover of understory (mosses and lichens) in 2007",NA,"percentage"
"268_i","Ammonium-N in July 2003",NA,"mg/kg OM"
"268_j","Microbial N in July 2003",NA,"mg/kg OM"
"268_k","Microbial C in July 2003",NA,"g/kg OM"
"268_l","Microbial respiration in July 2003",NA,"mg CO2-C/kg OM/h"
"270_a","Leaf nitrogen content of evergreen shrubs",NA,"% of dry weight"
"270_b","Leaf nitrogen content of evergreen shrubs",NA,"% of dry weight"
"270_c","Leaf nitrogen content of evergreen shrubs",NA,"% of dry weight"
"270_d","Leaf nitrogen content of evergreen shrubs",NA,"% of dry weight"
"270_e","Leaf nitrogen content of rushes",NA,"% of dry weight"
"270_f","Leaf nitrogen content of horsetails",NA,"% of dry weight"
"270_g","Leaf nitrogen content of horsetails",NA,"% of dry weight"
"270_h","Leaf nitrogen content of horsetails",NA,"% of dry weight"
"270_i","Leaf nitrogen content of horsetails",NA,"% of dry weight"
"270_j","Leaf phosphorus content of evergreen shrubs",NA,"% of dry weight"
"270_k","Leaf phosphorus content of evergreen shrubs",NA,"% of dry weight"
"270_l","Leaf phosphorus content of evergreen shrubs",NA,"% of dry weight"
"270_m","Leaf phosphorus content of evergreen shrubs",NA,"% of dry weight"
"270_n","Leaf phosphorus content of horsetails",NA,"% of dry weight"
"270_o","Leaf phosphorus content of horsetails",NA,"% of dry weight"
"270_p","Leaf phosphorus content of horsetails",NA,"% of dry weight"
"271_a","Cover of lowland species","They seed species of the lowlands in the tundra to check how they grow","%"
"271_b","Cover of tundra species",NA,"%"
"271_c","species richness",NA,"unitless"
"281_a","cover of Carex ramenskii",NA,"%"
"281_b","cover of Salix ovalifolia",NA,"%"
"301_a","vegetation cover","total vegetation cover; visual estimates of plant cover for each group of plants and summed, so it adds up to >100% --> measure of abundance","%"
"301_b","vegetation cover","total vegetation cover; visual estimates of plant cover for each group of plants and summed, so it adds up to >100% --> measure of abundance","%"
"301_c","vegetation cover","total vegetation cover; visual estimates of plant cover for each group of plants and summed, so it adds up to >100% --> measure of abundance","%"
"301_d","vegetation cover","total vegetation cover; visual estimates of plant cover for each group of plants and summed, so it adds up to >100% --> measure of abundance","%"
"301_e","vegetation cover","total vegetation cover; visual estimates of plant cover for each group of plants and summed, so it adds up to >100% --> measure of abundance","%"
"301_f","litter cover","litter cover","%"
"301_g","litter cover","litter cover","%"
"301_h","litter cover","litter cover","%"
"301_i","litter cover","litter cover","%"
"301_j","litter cover","litter cover","%"
"301_k","bare soil","cover of bare soil","%"
"301_l","bare soil","cover of bare soil","%"
"301_m","bare soil","cover of bare soil","%"
"301_n","bare soil","cover of bare soil","%"
"301_o","bare soil","cover of bare soil","%"
"301_p","cover of willow","cover of Salix spp.","%"
"301_q","cover of willow","cover of Salix spp.","%"
"301_r","cover of willow","cover of Salix spp.","%"
"301_s","cover of willow","cover of Salix spp.","%"
"301_t","cover of willow","cover of Salix spp.","%"
"301_u","cover of dwarf birch","cover of Betula nana","%"
"301_v","cover of dwarf birch","cover of Betula nana","%"
"301_w","cover of dwarf birch","cover of Betula nana","%"
"301_x","cover of dwarf birch","cover of Betula nana","%"
"301_y","cover of dwarf birch","cover of Betula nana","%"
"301_z","cover of dwarf shrubs","cover of woody plants <20 cm high","%"
"301_aa","cover of dwarf shrubs","cover of woody plants <20 cm high","%"
"301_ab","cover of dwarf shrubs","cover of woody plants <20 cm high","%"
"301_ac","cover of dwarf shrubs","cover of woody plants <20 cm high","%"
"301_ad","cover of dwarf shrubs","cover of woody plants <20 cm high","%"
"301_ae","cover of forbs","cover of forbs","%"
"301_af","cover of forbs","cover of forbs","%"
"301_ag","cover of forbs","cover of forbs","%"
"301_ah","cover of forbs","cover of forbs","%"
"301_ai","cover of forbs","cover of forbs","%"
"301_aj","cover of sedges","cover of sedges","%"
"301_ak","cover of sedges","cover of sedges","%"
"301_al","cover of sedges","cover of sedges","%"
"301_am","cover of sedges","cover of sedges","%"
"301_an","cover of sedges","cover of sedges","%"
"301_ao","cover of grasses","cover of grasses","%"
"301_ap","cover of grasses","cover of grasses","%"
"301_aq","cover of grasses","cover of grasses","%"
"301_ar","cover of grasses","cover of grasses","%"
"301_as","cover of grasses","cover of grasses","%"
"301_at","cover of bryophytes","cover of bryophytes","%"
"301_au","cover of bryophytes","cover of bryophytes","%"
"301_av","cover of bryophytes","cover of bryophytes","%"
"301_aw","cover of bryophytes","cover of bryophytes","%"
"301_ax","cover of bryophytes","cover of bryophytes","%"
"301_ay","cover of lichens","cover of lichens","%"
"301_az","cover of lichens","cover of lichens","%"
"301_ba","cover of lichens","cover of lichens","%"
"301_bb","cover of lichens","cover of lichens","%"
"301_bc","cover of lichens","cover of lichens","%"
"301_bd","species richness",NA,"number of species"
"301_be","species richness",NA,"number of species"
"301_bf","species richness",NA,"number of species"
"301_bg","species richness",NA,"number of species"
"301_bh","species richness",NA,"number of species"
"301_bi","species richness of vascular plants","number of species of vascular plants","number of species"
"301_bj","species richness of vascular plants","number of species of vascular plants","number of species"
"301_bk","species richness of vascular plants","number of species of vascular plants","number of species"
"301_bl","species richness of vascular plants","number of species of vascular plants","number of species"
"301_bm","species richness of vascular plants","number of species of vascular plants","number of species"
"301_bn","species richness of bryophytes","number of species of bryophytes","number of species"
"301_bo","species richness of bryophytes","number of species of bryophytes","number of species"
"301_bp","species richness of bryophytes","number of species of bryophytes","number of species"
"301_bq","species richness of bryophytes","number of species of bryophytes","number of species"
"301_br","species richness of bryophytes","number of species of bryophytes","number of species"
"301_bs","species richness of lichens","number of species of lichens","number of species"
"301_bt","species richness of lichens","number of species of lichens","number of species"
"301_bu","species richness of lichens","number of species of lichens","number of species"
"301_bv","species richness of lichens","number of species of lichens","number of species"
"301_bw","species richness of lichens","number of species of lichens","number of species"
"301_bx","height of willow","height of Salix spp.","cm"
"301_by","height of willow","height of Salix spp.","cm"
"301_bz","height of willow","height of Salix spp.","cm"
"301_ca","height of willow","height of Salix spp.","cm"
"301_cb","height of willow","height of Salix spp.","cm"
"301_cc","height of dwarf birch","height of Betula nana","cm"
"301_cd","height of dwarf birch","height of Betula nana","cm"
"301_ce","height of dwarf birch","height of Betula nana","cm"
"301_cf","height of dwarf birch","height of Betula nana","cm"
"301_cg","height of dwarf birch","height of Betula nana","cm"
"301_ch","height of dwarf shrubs","height of woody plants <20cm","cm"
"301_ci","height of dwarf shrubs","height of woody plants <20cm","cm"
"301_cj","height of dwarf shrubs","height of woody plants <20cm","cm"
"301_ck","height of dwarf shrubs","height of woody plants <20cm","cm"
"301_cl","height of dwarf shrubs","height of woody plants <20cm","cm"
"301_cm","height of forbs","height of forbs","cm"
"301_cn","height of forbs","height of forbs","cm"
"301_co","height of forbs","height of forbs","cm"
"301_cp","height of forbs","height of forbs","cm"
"301_cq","height of forbs","height of forbs","cm"
"301_cr","height of sedges","height of sedges","cm"
"301_cs","height of sedges","height of sedges","cm"
"301_ct","height of sedges","height of sedges","cm"
"301_cu","height of sedges","height of sedges","cm"
"301_cv","height of sedges","height of sedges","cm"
"301_cw","height of grass leaves","height of vegetative grasses","cm"
"301_cx","height of grass leaves","height of vegetative grasses","cm"
"301_cy","height of grass leaves","height of vegetative grasses","cm"
"301_cz","height of grass leaves","height of vegetative grasses","cm"
"301_da","height of grass leaves","height of vegetative grasses","cm"
"301_db","height of grass flowers","height of flowering grasses","cm"
"301_dc","height of grass flowers","height of flowering grasses","cm"
"301_dd","height of grass flowers","height of flowering grasses","cm"
"301_de","height of grass flowers","height of flowering grasses","cm"
"301_df","height of grass flowers","height of flowering grasses","cm"
"301_dg","height of bryophytes","height of bryophytes","cm"
"301_dh","height of bryophytes","height of bryophytes","cm"
"301_di","height of bryophytes","height of bryophytes","cm"
"301_dj","height of bryophytes","height of bryophytes","cm"
"301_dk","height of bryophytes","height of bryophytes","cm"
"301_dl","height of lichens","height of lichens","cm"
"301_dm","height of lichens","height of lichens","cm"
"301_dn","height of lichens","height of lichens","cm"
"301_do","height of lichens","height of lichens","cm"
"301_dp","height of lichens","height of lichens","cm"
"301_dq","cover of Betula nana","percent cover of Betula nana","%"
"301_dr","cover of Betula nana","percent cover of Betula nana","%"
"301_ds","cover of Betula nana","percent cover of Betula nana","%"
"301_dt","cover of Salix glauca","percent cover of Salix glauca","%"
"301_du","cover of Salix glauca","percent cover of Salix glauca","%"
"301_dv","cover of Salix glauca","percent cover of Salix glauca","%"
"301_dw","cover of Salix phylicifolia","percent cover of Salix phylicifolia","%"
"301_dx","cover of Salix phylicifolia","percent cover of Salix phylicifolia","%"
"301_dy","cover of Salix phylicifolia","percent cover of Salix phylicifolia","%"
"301_dz","cover of Vaccinium vitis-idaea","percent cover of Vaccinium vitis-idaea","%"
"301_ea","cover of Vaccinium vitis-idaea","percent cover of Vaccinium vitis-idaea","%"
"301_eb","cover of Vaccinium vitis-idaea","percent cover of Vaccinium vitis-idaea","%"
"301_ec","cover of Cornus suecica","percent cover of  Cornus suecica","%"
"301_ed","cover of Cornus suecica","percent cover of  Cornus suecica","%"
"301_ee","cover of Cornus suecica","percent cover of  Cornus suecica","%"
